id,value_theme,register,securitization,militarization,geopoliticization,affective_polarization,text
m019,european_unity,formal_address,1,0,0,0,"I will not pretend the dangers to our Union are small; they are not, and some are close to existential. But I refuse the idea that the answer is to remake Europe as a fortress bristling with arms. The threats we most acutely face, division, disinformation, the erosion of common purpose, yield to no weapon. They yield to trust, to fair institutions, to a shared story worth believing in. Let us defend Europe, yes, but let us defend it as what it is: a community, not a garrison."
m020,democracy,op_ed,1,0,1,0,"Foreign interference in our democracies is real, sustained, and aimed at hollowing them out, a genuine threat we are right to treat with urgency. But the contest is being waged with information, money and influence, not armies, and our defences must match it. That means transparency rules for political funding, resilient electoral systems, media literacy, and the patient exposure of covert influence. Reaching for military framing here is a category error. The autocracies would be delighted to see us mistake an information war for the other kind."
m021,strategic_autonomy,press_statement,0,0,1,0,"The Commission presented its Economic Security Strategy today. The aim is to position Europe advantageously in an era of intensifying competition among major economies. Measures include screening of inbound and outbound investment, diversification of critical supply chains, and coordinated technology policy. Officials framed the strategy as a matter of long-term competitiveness rather than crisis, emphasising that Europe intends to compete confidently for influence in the global economy while keeping its markets open where its interests allow."
m022,european_unity,op_ed,0,0,1,0,"The contest of our time is for influence, and Europe has been a curiously reluctant player. While other powers cultivate partners, build infrastructure abroad and shape the rules of trade, we have too often mistaken our market size for strategy. There is nothing alarming in saying so, and nothing that requires a single soldier. It requires statecraft: investment partnerships, a coherent neighbourhood policy, the patient accumulation of economic leverage. Europe's place in a multipolar world will be won in ministries and boardrooms, by those who understand that influence is built, not inherited."
m023,freedom,informal_remarks,0,0,1,0,"People hear 'great power competition' and assume we're talking about war. Mostly we're not. We're talking about who sets the standards your phone runs on, whose currency clears the trades, whose universities the talent flows to. That's the real game, and free societies should want to win it, not out of fear, but because the alternative is letting others write the rules we'll live under. It's competition, and it's mostly economic and intellectual. Worth being clear-eyed about."
m024,strategic_autonomy,parliamentary_debate,1,0,1,0,"Colleagues, I want to frame our dependency problem honestly: it is a strategic vulnerability, and in that limited sense an urgent one. When a rival power controls the materials, the energy or the platforms on which our economy runs, it holds leverage over our choices that no sovereign Union should accept. The remedy is not martial. It is to build, to stockpile, to diversify, to invest in European capacity until that leverage is broken. We treat this with the seriousness of a security question because it is one, an economic and technological security question, fought with industry rather than arms."
m025,human_rights,press_statement,0,0,1,0,"The Commission outlined its approach to promoting European rights standards abroad through trade and partnership. Officials described an effort to ensure that, as global rules on data, labour and the environment are written, European norms carry weight against competing models. The strategy relies on market access, regulatory cooperation and development partnerships. It was presented as a confident projection of European values in a competitive world, conducted entirely through economic and diplomatic means."
m026,democracy,op_ed,0,0,0,1,"Let us be candid about who is actually undermining European democracy. It is not some shadowy foreign hand; it is a political faction at home that has decided contempt is a strategy. They mock our institutions, sneer at compromise, and treat fellow citizens who disagree as enemies to be defeated rather than neighbours to be persuaded. This is corrosive, and pretending both sides are equally to blame only rewards it. A democratic culture cannot survive when one camp treats politics as warfare by other means. The line we should defend is the basic decency they have abandoned."
m027,solidarity,informal_remarks,0,0,0,1,"Honestly, what worries me isn't any outside threat, it's how much we've come to despise each other. Half the chamber can't say a civil word about the other half. Solidarity was supposed to mean we're in this together; now it's tribes. People vote against their own interests just to spite the other side. You don't need a foreign enemy to pull a Union apart when its own members have decided their neighbours are the enemy. That's the rot I see."
m028,rule_of_law,parliamentary_debate,0,0,0,1,"I rise to object to the tone that has overtaken this house. Members increasingly speak of colleagues not as opponents but as traitors, as though disagreement on the rule of law were proof of bad faith. This moralising, the assumption that one's own camp holds all virtue and the other all vice, is itself a threat to the deliberative spirit our rules exist to protect. We can argue fiercely about legal reform without consigning half of Europe to the ranks of the wicked. I would ask members to remember that."
m029,freedom,op_ed,0,0,0,1,"There is a story Europe's competing camps each tell, in which they are freedom's only true defenders and their opponents its secret betrayers. Both versions are self-flattering and corrosive. The progressive who treats every conservative as a closet authoritarian, and the conservative who treats every liberal as a decadent saboteur, are playing the same destructive game. Freedom is not the property of one faction. A continent that forgets this will tear at itself long before any outsider needs to."
m030,european_unity,op_ed,0,0,0,1,"The deepest fracture in Europe today runs not between nations but between those who feel they belong to the European project and those who feel it has left them behind, and increasingly, each treats the other with open scorn. Elites caricature the discontented as backward; the discontented caricature elites as traitors. Unity cannot be rebuilt by either side winning this contest of contempt. It requires the harder work of taking each other seriously again, which neither camp currently seems willing to do."
m031,european_unity,press_statement,0,1,0,0,"The Council agreed today to modest, steady increases in coordinated defence investment as part of routine long-term planning. Ministers described the move as prudent housekeeping rather than a response to any particular alarm: maintaining ready forces, replacing ageing equipment, and ensuring interoperability among member states. The approach, they noted, reflects a mature Union that treats a capable defence as a normal component of public provision, alongside infrastructure and public health, rather than an exceptional or emergency undertaking."
m032,solidarity,op_ed,0,1,0,0,"A grown-up Europe should be able to discuss its armed forces without drama. We fund police because an orderly society needs them, not because we expect catastrophe tomorrow; the same calm logic applies to defence. Shared European capabilities, pooled airlift, common training, sensible procurement, are simply good administration for a continent of our size and wealth. None of this requires us to talk ourselves into a state of emergency or to paint neighbours as foes. It is the ordinary, unexciting maintenance of a capable and self-respecting Union."
m033,freedom,informal_remarks,0,1,0,0,"I don't think wanting a decent army makes you a warmonger. A free country keeps a fire brigade without expecting to burn down; defence is the same, basic provision, nothing more dramatic. We should fund it properly, keep it professional, and otherwise not think about it much. The mistake is treating every budget line for the military as either a betrayal of peace or a call to arms. It's neither. It's just sensible."
m034,democracy,parliamentary_debate,0,1,0,0,"I support the defence budget before us, and I want to explain why in unremarkable terms. A self-governing people should be able to provide for its own security as a matter of course, the way it provides courts and schools. Voting to maintain capable forces is not a vote for war or fear; it is simply democratic self-reliance. I would caution colleagues on all sides against dressing this routine decision in either the language of crisis or the language of pacifist alarm. It is neither."
m035,none,press_statement,0,0,0,0,"The Commission published its annual report on the European defence industry today. The document records output figures, employment in the sector across member states, and the volume of cross-border procurement contracts concluded over the past year. It notes a modest rise in joint development projects and identifies persistent fragmentation in national markets. The report is descriptive and makes no policy recommendations; a separate consultation on industrial coordination is scheduled for later in the year."
m036,none,parliamentary_debate,0,0,0,0,"My question to the Commissioner concerns the timeline for the joint munitions procurement framework. Specifically, when will member states receive the implementing guidelines, how will contributions be calculated, and what reporting obligations will apply to participating states? I would also appreciate clarity on whether the framework's budget falls under the existing multiannual ceiling or requires a separate instrument. These are procedural matters, but member states need certainty to plan their own contributions accordingly."
m037,human_rights,press_statement,0,0,0,0,"The European Union Agency for Fundamental Rights released its yearly findings on rights protection across member states. The report compiles data on access to justice, non-discrimination, and the situation of asylum seekers, drawing on national surveys and administrative records. It highlights uneven implementation of existing directives and recommends improved data collection. The Agency presents the findings as a baseline for monitoring rather than as commentary on policy."
m038,none,informal_remarks,0,0,0,0,"Quick procedural note for everyone: the briefing on the defence-industrial review moved to Thursday. Same room. The rapporteur will walk through the figures on procurement and the sectoral employment data, then we'll take questions. Nothing's been decided yet, this is just the fact-finding stage, so come with questions rather than positions. Papers are circulated already."
m039,democracy,formal_address,0,0,0,0,"Democracy is, at its heart, an act of trust renewed, the willingness of free people to settle their differences by argument and the ballot rather than by force or fiat. Europe's quiet achievement has been to make that willingness ordinary across a continent that once knew the opposite. We honour it best not with grand declarations but by tending the everyday institutions that make it work: fair elections, a free press, an engaged citizenry. That patient, unglamorous work is the real life of a democracy."
m040,solidarity,op_ed,0,0,0,0,"Solidarity is the least glamorous and most essential of European ideas. It is the recognition that a shock to one is a concern for all, that prosperity shared is prosperity made durable. We see it in the unspectacular machinery of cohesion funds, mutual support in crisis, and the slow convergence of opportunity across regions. It asks nothing heroic of us, only that we remember we are bound together, and act, patiently, as though that were true."
m041,human_rights,informal_remarks,0,0,0,0,"What I love about the European rights tradition is how stubbornly ordinary it's become. The idea that your dignity doesn't depend on your usefulness, that everyone gets the same basic protections, it used to be radical, and now people just expect it. That's an achievement. We should be proud of it, talk about it more, and keep widening the circle of who it actually reaches in practice."
m042,freedom,parliamentary_debate,0,0,0,0,"I want to speak briefly in praise of an idea we too rarely celebrate: that a free society is one where people may think, speak, worship and associate as they choose, and where the state's first duty is to leave that space intact. Europe's freedoms were hard-won and are easily taken for granted. Let us use this debate not to sound alarms but simply to recommit to widening and deepening the liberties we already hold."
m043,european_unity,press_statement,0,0,0,0,"The Council marked the anniversary of the Union's founding with a short statement reaffirming its core purpose: peace, prosperity and cooperation among European peoples. Members recalled the project's origins in the desire to make conflict between member states unthinkable, and expressed confidence in the enduring value of shared institutions. The statement struck a reflective and forward-looking tone, emphasising partnership over division."
m044,rule_of_law,op_ed,0,0,0,0,"The rule of law is one of those phrases that can sound abstract until you notice its absence. At bottom it means something plain: that power answers to rules it did not write for itself, that the powerful and the powerless stand equally before the same courts. Europe's commitment to this idea, imperfect as its practice often is, remains among its quietest and greatest contributions. It deserves to be defended in the ordinary way, by upholding it."
